,Alt MAC,B cell,Cl MAC,Cl Mo,DCs cell,Int Mo,Mast cell,Neutrophils,NK cell,Non-Cl Mo,Tc,Th,T other,Treg
D074,0.0906125407756433,0.071402682131207,0.0670532801739761,0.149691917361363,0.00181225081551287,0.0192098586444364,0.00398695179412831,0.162377673069953,0.00398695179412831,0.0155853570134107,0.0253715114171801,0.29430953243929,0.0735773831098224,0.0210221094599493
D075,0.0483823092905907,0.0614425645592164,0.205105372514099,0.04986642920748,0.000593647966755714,0.01662214306916,0.00504600771742357,0.0148411991688928,0.000593647966755714,0.0439299495399228,0.159988127040665,0.324725437815375,0.039477589789255,0.0293855743544078
D076,0.0119760479041916,0.0484031936127745,0.223552894211577,0.0234530938123752,0.000499001996007984,0.0334331337325349,0.00449101796407186,0.0139720558882236,0.000499001996007984,0.0793413173652695,0.305888223552894,0.154690618762475,0.0713572854291417,0.0284431137724551
D077,0.163973384030418,0.0622623574144487,0.170152091254753,0.133555133079848,0.00237642585551331,0.0465779467680608,0.00475285171102662,0.115019011406844,0.00380228136882129,0.00903041825095057,0.152091254752852,0.0746197718631179,0.0256653992395437,0.0361216730038023
D078,0.00693240901213172,0.0675909878682842,0.312824956672444,0.0502599653379549,0,0.00779896013864818,0.00173310225303293,0.0363951473136915,0.00433275563258232,0.0155979202772964,0.236568457538995,0.154246100519931,0.0745233968804159,0.0311958405545927
D079,0.0538793103448276,0.0021551724137931,0.589439655172414,0.0150862068965517,0.00323275862068966,0.00107758620689655,0.0183189655172414,0.0129310344827586,0.00323275862068966,0.00969827586206897,0.0883620689655172,0.155172413793103,0.03125,0.0161637931034483
D080,0.0239085239085239,0.254677754677755,0.192307692307692,0.00311850311850312,0.00415800415800416,0,0.0228690228690229,0.0051975051975052,0.00831600831600832,0.0051975051975052,0.0602910602910603,0.35031185031185,0.0623700623700624,0.00727650727650728
D081,0.107332624867163,0.0908607863974495,0.16365568544102,0.0324123273113709,0.0026567481402763,0.014346439957492,0.00212539851222104,0.0313496280552604,0.00478214665249734,0.0154091392136026,0.411264612114771,0.0818278427205101,0.014346439957492,0.0276301806588735
D082,0.0857495373226403,0.19185687847008,0.13880320789636,0.0240592227020358,0.00308451573103023,0.00616903146206046,0.0160394818013572,0.0493522516964837,0.0197409006785935,0.00801974090067859,0.217149907464528,0.157927205428748,0.0160394818013572,0.0660086366440469
D083,0.042995839112344,0.0235783633841886,0.237170596393897,0.029126213592233,0,0,0.00277392510402219,0.029126213592233,0.0013869625520111,0.0166435506241331,0.142857142857143,0.410540915395284,0.0277392510402219,0.0360610263522885
